question,option_a,option_b,option_c,option_d,answer
Which historical event is described in this passage?,Accessibility of information,Technological advancements,Online education challenges,Shakespeare,Online education challenges
What kind of literary contributions are discussed here?,Technological advancements,Industrial Revolution,Accessibility of information,Online education challenges,Online education challenges
What is the main theme discussed in this passage?,Shakespeare,English as lingua franca,Critique of gender roles,Industrial Revolution,Shakespeare
What challenge is highlighted in the text?,Technological advancements,Accessibility of information,English as lingua franca,Industrial Revolution,Industrial Revolution
What role does English play according to the passage?,Shakespeare,Marriage and wealth in society,Accessibility of information,Social transformations,Shakespeare
What role does English play according to the passage?,Social transformations,Critique of gender roles,Accessibility of information,Shakespeare,Critique of gender roles
What impact of technology is mentioned in the passage?,Industrial Revolution,Online education challenges,Marriage and wealth in society,Technological advancements,Marriage and wealth in society
What role does English play according to the passage?,Industrial Revolution,Social transformations,Critique of gender roles,Poetry and drama,Critique of gender roles
What type of literature is referenced in the passage?,Social transformations,Industrial Revolution,Shakespeare,Critique of gender roles,Critique of gender roles
What is the main theme discussed in this passage?,Industrial Revolution,English as lingua franca,Critique of gender roles,Social transformations,Critique of gender roles
